Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60824 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
